"CAINC4 Personal Income and Employment by Major Component"
"" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","LineCode","Description","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"37071","Gaston, NC","70","Proprietors' income 9/",271673,259327,349148,519441,960011,314918,398310,397210,393506,387195,436168,448020,462173
"37071","Gaston, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37071","Gaston, NC","7010","Total employment",90449,92675,91702,86429,85893,88795,89429,91539,93273,95157,95570,98252,101572
"37071","Gaston, NC","7020","  Wage and salary employment",73726,74490,73845,67955,67713,68722,69498,71409,72686,74462,74376,76406,79067
"37071","Gaston, NC","7040","  Proprietors employment",16723,18185,17857,18474,18180,20073,19931,20130,20587,20695,21194,21846,22505
"37073","Gates, NC","70","Proprietors' income 9/",30886,24787,15474,18125,20451,21422,25351,20449,6904,2792,3176,10249,2086
"37073","Gates, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37073","Gates, NC","7010","Total employment",2764,2772,2738,2698,2676,2661,2636,2602,2681,2742,2780,2824,2864
"37073","Gates, NC","7020","  Wage and salary employment",1808,1718,1710,1709,1651,1629,1642,1606,1655,1705,1759,1748,1757
"37073","Gates, NC","7040","  Proprietors employment",956,1054,1028,989,1025,1032,994,996,1026,1037,1021,1076,1107
"37075","Graham, NC","70","Proprietors' income 9/",12681,15189,16244,17350,16027,17714,15429,17766,18193,21016,18312,22419,23233
"37075","Graham, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37075","Graham, NC","7010","Total employment",4051,4088,3982,3602,3509,3474,3316,3357,3279,3220,3182,3274,3338
"37075","Graham, NC","7020","  Wage and salary employment",2797,2837,2794,2472,2456,2345,2310,2319,2210,2140,2108,2189,2221
"37075","Graham, NC","7040","  Proprietors employment",1254,1251,1188,1130,1053,1129,1006,1038,1069,1080,1074,1085,1117
"37077","Granville, NC","70","Proprietors' income 9/",71539,63617,71102,62652,70949,69083,88289,85708,87567,73425,81691,98889,97583
"37077","Granville, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37077","Granville, NC","7010","Total employment",25286,26231,25813,25045,24601,25419,25686,25916,25781,26154,27522,28248,28108
"37077","Granville, NC","7020","  Wage and salary employment",20984,21640,21335,20482,20193,20812,21174,21264,20979,21323,21915,22440,22145
"37077","Granville, NC","7040","  Proprietors employment",4302,4591,4478,4563,4408,4607,4512,4652,4802,4831,5607,5808,5963
"37079","Greene, NC","70","Proprietors' income 9/",29862,29188,33101,43039,59129,64268,73161,101900,103101,77171,65921,86108,63603
"37079","Greene, NC","","Employment (number of jobs)","","","","","","","","","","","","",""
"37079","Greene, NC","7010","Total employment",5816,6130,6249,6124,6056,5865,5876,5774,5857,6006,6361,6327,6452
"37079","Greene, NC","7020","  Wage and salary employment",4544,4770,4938,4763,4635,4510,4474,4405,4473,4604,4648,4638,4721
"37079","Greene, NC","7040","  Proprietors employment",1272,1360,1311,1361,1421,1355,1402,1369,1384,1402,1713,1689,1731
